SMILES,pIC50
C1=C/COCc2cncc(c2)-c2ccnc(n2)Nc2cccc(c2)COC/1,5.0
CN1C/C=C/COCc2ccc(o2)-c2ccnc(n2)Nc2cccc(c2)C1,5.7447274948966935
C1=C/COCc2ccc(o2)-c2ccnc(n2)Nc2cccc(c2)COC/1,5.096910013008056
Cc1cnc2nc1-c1ccc3ccn(c3c1)C/C=C/COCc1cc(ccc1OCCN1CCCC1)N2,5.292429823902063
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cncc(c2)COC/1,5.0
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccnc(c2)OCC/1,6.013228265733755
Cc1cnc2nc1-c1ccnc(c1)OCC/C=C/COCc1cc(ccc1OCCN1CCCC1)N2,6.4089353929735005
CN1C/C=C/COCc2ccc(o2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)C1,6.187086643357144
CN1C/C=C/COCc2ccc(s2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)C1,6.698970004336019
COCCOc1ccc2cc1CN(C)C/C=C/COCc1ccc(o1)-c1ccnc(n1)N2,5.494850021680094
COCCOc1ccc2cc1CN(C)C/C=C/COCc1ccc(s1)-c1ccnc(n1)N2,6.4089353929735005
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1,6.376750709602099
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2csc(c2)COC/1,5.823908740944319
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1,5.568636235841012
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2coc(c2)COC/1,5.522878745280337
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cc(co2)COC/1,5.721246399047171
CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,7.0915149811213505
CN1CCC(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,7.366531544420413
CN1CCN(c2ccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)cc2)CC1,7.657577319177793
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1.O=P(O)(O)O,8.0
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1,5.481486060122112
Fc1ccc2cc1COCC=CCOCc1cc(ccc1OCCN1CCCC1)Nc1nccc-2n1,5.337242168318426
COc1ccc2cc1COCC=CCOCc1cc(ccc1OCCN1CCCC1)Nc1nccc-2n1,5.0
Fc1cc2cc(c1)-c1ccnc(n1)Nc1ccc(OCCN3CCCC3)c(c1)COCC=CCOC2,6.42021640338319
COc1ccc2cc1-c1ccnc(n1)Nc1ccc(OCCN3CCCC3)c(c1)COCC=CCOC2,5.309803919971486
Fc1cnc2nc1-c1cccc(c1)COCC=CCOCc1cc(ccc1OCCN1CCCC1)N2,6.080921907623926
Cc1cnc2nc1-c1cccc(c1)COCC=CCOCc1cc(ccc1OCCN1CCCC1)N2,6.0
COc1cc2cc(c1OCCN1CCCC1)COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,5.769551078621726
CCN(CC)CCC(=O)Nc1cc2cc(c1)Nc1nccc(n1)-c1cccc(c1)COCC=CCOC2,5.721246399047171
C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCOCC3)c2)COC1,5.619788758288394
C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCCC3)c2)COC1,5.6777807052660805
O=C1CCN(CCOc2ccc3cc2COCC=CCOCc2cccc(c2)-c2ccnc(n2)N3)C1,6.026872146400301
O=C1CCCN1CCOc1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,5.886056647693163
C1=CCOCc2cc(ccc2OCCN2CCCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,6.022276394711152
C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,5.892790030352131
CCN(CC)CCOc1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,5.455931955649724
ClCCOc1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,5.0
CN(C)CCN(C)c1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,5.443697499232712
CCS(=O)(=O)N1CCN(c2ccc3cc2COCC=CCOCc2cccc(c2)-c2ccnc(n2)N3)CC1,5.0
CC(=O)N1CCN(c2ccc3cc2COCC=CCOCc2cccc(c2)-c2ccnc(n2)N3)CC1,5.552841968657781
OCCN1CCN(c2ccc3cc2COCC=CCOCc2cccc(c2)-c2ccnc(n2)N3)CC1,5.508638306165727
CN1CCN(c2ccc3cc2COCC=CCOCc2cccc(c2)-c2ccnc(n2)N3)CC1,5.443697499232712
C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,5.6020599913279625
C1=CCOCc2cc(ccc2N2CCOCC2)Nc2nccc(n2)-c2cccc(c2)COC1,5.060480747381382
Oc1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,6.3979400086720375
COc1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,5.721246399047171
COc1ccc2cc1COCC=CCOc1cccc(c1)-c1ccnc(n1)N2,5.236572006437063
COc1ccc2cc1COCC=CCCOc1cccc(c1)-c1ccnc(n1)N2,5.522878745280337
C1=CCOc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC1,5.0
C1=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)OCC1,5.0
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,5.359999833093898
O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)[C@H]1CCCN1,6.871923987331284
N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,9.229147988357855
N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,9.327902142064282
N#CC1CN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,9.301029995663981
CC(C)(C)[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CC(C#N)C1,8.494850021680094
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CC(C#N)C1,7.327902142064282
CC1CCN(C(=O)[C@@H](C)NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C1,6.565431095965801
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCC(C#N)C1,7.349692476868063
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCC1,6.060131455540491
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCCC1,6.366026844210326
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCCCC1,6.442492798094342
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N(C)C,6.196133365715015
C[C@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C1CCCCC1,5.9576214018601235
C[C@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(C)(C)C#N,6.96617430604669
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(C)(C)O,7.001304841688344
C[C@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(C)(C)O,6.590574131328557
C[C@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(C)(C)C,7.351639989019068
CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C1CC1,7.619788758288394
CC(C)[C@H](C)NC(=O)c1c[nH]c2ncc(C3CC3)nc12,7.3487219860018556
CC[C@H](C)NC(=O)c1c[nH]c2ncc(C3CC3)nc12,7.120330794367947
CC(C)NC(=O)c1c[nH]c2ncc(C3CC3)nc12,6.649170726417032
c1cc2c(ncc3cnc(C4CCCCC4)n32)[nH]1,8.0
c1cc2c(ncc3ccc(C4CCCCC4)n32)[nH]1,7.698970004336019
c1cc2c(ncc3ncc(C4CCCCC4)n32)[nH]1,8.397940008672037
c1cc2c(ncc3nnc(C4CCCCC4)n32)[nH]1,7.522878745280337
FC(F)(F)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,7.3979400086720375
Cc1nc2cnc3[nH]ccc3c2n1C1CCCCC1,7.698970004336019
c1cc2c(ncc3ncn(C4CCCCC4)c32)[nH]1,7.522878745280337
c1cc2c(ncc3onc(C4CCCCC4)c32)[nH]1,7.698970004336019
Cn1nc(C2CCCCC2)c2c3cc[nH]c3ncc21,7.045757490560675
c1cc2c(ncc3[nH]nc(C4CCCCC4)c32)[nH]1,8.522878745280337
C[C@@H](NC(=O)c1c[nH]c2ncc(-c3cnc4cc(Cl)ccn34)nc12)C(=O)N1CC(C#N)C1,7.214670164989233
C[C@@H](NC(=O)c1c[nH]c2ncc(-c3ncn4cc(F)cc(F)c34)nc12)C(=O)N1CC(C#N)C1,7.136677139879544
C[C@@H](NC(=O)c1c[nH]c2ncc(-c3ncn4cc(F)ccc34)nc12)C(=O)N1CC(C#N)C1,7.795880017344075
C[C@@H](NC(=O)c1c[nH]c2ncc(-n3ncc4cc(Cl)ccc43)nc12)C(=O)N1CC(C#N)C1,6.431798275933005
Cn1nc(-c2cnc3[nH]cc(C(=O)N[C@@H](C(=O)N4CC(C#N)C4)C(C)(C)C)c3n2)c2ccc(Cl)cc21,8.259637310505756
Cn1nc(-c2cnc3[nH]cc(C(=O)N[C@@H](C(=O)N4CC(C#N)C4)C4CC4)c3n2)c2ccc(Cl)cc21,9.096910013008056
